,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,RET_FT4_POOLED
3443,Northwest University,Kirkland,WA,3,21.0,0.9598,620.0,590.0,754.0,33980.0,33980.0,0.5813,0.7673,0.5271,1,930.0,9700.0,2710.0,9700.0,2710.0,46300,11.0,43698.0,64619.0,0.22,7030.0,,46713.5,71872.75,0.6444,12322.0,19300.0,0.8023
3446,Pacific Lutheran University,Tacoma,WA,3,21.0,0.8839,693.0,683.0,2331.0,48226.0,48226.0,0.6938,0.7853,0.5922,1,942.0,11482.0,2913.0,11482.0,2913.0,53500,11.0,55287.0,68186.0,0.22,7951.0,,59189,65366.76,0.4689,9074.0,19645.0,0.7921
3448,University of Puget Sound,Tacoma,WA,3,12.0,0.883,700.0,670.0,1866.0,55670.0,55670.0,0.7423,0.8799,0.6718,1,1000.0,13950.0,2514.0,13950.0,2514.0,59100,9.0,60976.0,71046.0,0.29,10904.0,,90104.5,72356.02,0.4183,18742.0,24622.0,0.8076
3450,Saint Martin's University,Lacey,WA,3,13.0,0.7162,635.0,590.0,1347.0,40690.0,40690.0,0.6089,0.7951,0.5084,1,1000.0,12850.0,3000.0,10773.0,3000.0,51600,11.0,55325.0,66713.0,0.15,6626.0,,41889,61347.58,0.5323,8600.0,18814.0,0.7769
3453,Seattle Pacific University,Seattle,WA,3,11.0,0.9195,660.0,640.0,2611.0,35646.0,35646.0,0.6594,0.8187,0.556,1,942.0,13404.0,3774.0,13404.0,3774.0,54200,13.0,58066.0,69268.0,0.25,8706.0,,62276,72206.46,0.5448,13320.0,21214.0,0.793
3454,Seattle University,Seattle,WA,3,11.0,0.8212,660.0,670.0,4233.0,49335.0,49335.0,0.749,0.8509,0.6522,1,1200.0,13035.0,3600.0,13035.0,3600.0,63200,11.0,71943.0,77365.0,0.3,9842.0,,74787.5,70785.55,0.4943,14523.0,27243.0,0.8343
3463,Walla Walla University,College Place,WA,3,23.0,,651.0,645.0,1316.0,30531.0,30531.0,0.6389,0.7714,0.3657,1,942.0,8358.0,2040.0,8358.0,2040.0,50900,13.0,53285.0,60549.0,0.23,5523.0,,65228.5,59374.31,0.5191,11454.0,7847.0,0.7738
3464,Washington State University,Pullman,WA,3,32.0,0.8577,651.0,645.0,23966.0,12417.0,27733.0,0.5955,0.8087,0.3734,1,960.0,11848.0,3542.0,11848.0,3542.0,56600,15.0,59446.0,72473.0,0.2,10401.0,,44850,63710.0,0.3237,9617.0,10674.0,0.807
3465,University of Washington-Seattle Campus,Seattle,WA,3,11.0,0.5348,651.0,645.0,31367.0,12076.0,39906.0,0.8388,0.93,0.7052,1,900.0,14871.0,2793.0,14871.0,2793.0,69600,21.0,67936.0,82898.0,0.3,13684.0,,39205,69752.4,0.1916,32369.0,19472.0,0.9304
3467,Western Washington University,Bellingham,WA,3,13.0,0.961,670.0,640.0,13933.0,8703.0,25930.0,0.677,0.8072,0.429,1,1011.0,13080.0,3840.0,13080.0,3840.0,50600,17.0,54409.0,66828.0,0.24,10753.0,,51312,66707.46,0.288,11628.0,7758.0,0.7981
