,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
2228,SUNY at Albany,Albany,NY,3,13.0,0.6799,640.0,640.0,12556.0,10408.0,28248.0,0.6627,0.8153,0.5923,1,1000.0,15053.0,1770.0,13000.0,2170.0,57600,18.0,59967.0,69933.0,0.16,10238.0,,43412,70013.16,0.4808,13360.0,6972.0,0.8228
2229,Binghamton University,Vestal,NY,3,22.0,0.4415,720.0,750.0,14303.0,10390.0,26420.0,0.8382,0.9072,0.7484,1,1000.0,17064.0,1000.0,17064.0,1000.0,68100,19.0,72294.0,83964.0,0.3,10386.0,,61401,71392.67,0.3938,11473.0,7813.0,0.9137
2230,University at Buffalo,Buffalo,NY,3,21.0,0.7009,660.0,700.0,21303.0,10782.0,28702.0,0.7378,0.8332,0.5999,1,1202.0,15452.0,2804.0,15452.0,2804.0,62100,13.0,61935.0,69114.0,0.21,11018.0,,46678,63949.26,0.392,15003.0,9062.0,0.851
2231,Stony Brook University,Stony Brook,NY,3,21.0,0.4806,710.0,770.0,17900.0,10455.0,28375.0,0.7766,0.891,0.6445,1,900.0,15498.0,2420.0,16168.0,6664.0,62600,19.0,67835.0,74736.0,0.26,12966.0,,36504.5,76205.23,0.3108,18659.0,9750.0,0.8964
2232,SUNY College of Environmental Science and Forestry,Syracuse,NY,3,12.0,0.6532,,,1576.0,9206.0,19966.0,0.7642,0.7633,0.6792,1,1200.0,17890.0,1050.0,10180.0,1050.0,49800,11.0,43868.0,59558.0,0.25-0.26,9259.0,,68412,63414.84,0.3951,22101.0,5885.0,0.8189
2233,SUNY Polytechnic Institute,Utica,NY,3,22.0,0.7725,680.0,720.0,1924.0,8548.0,19308.0,0.6542,0.7522,0.5764,1,1400.0,13404.0,2000.0,14592.0,2500.0,55900,13.0,56371.0,66872.0,0.17,10020.0,,46601,53376.47,0.4176,13367.0,6160.0,0.791
2234,SUNY Brockport,Brockport,NY,3,31.0,0.7645,610.0,620.0,5668.0,8678.0,18588.0,0.6319,0.6879,0.4759,1,800.0,14613.0,1978.0,10230.0,2868.0,45500,15.0,47987.0,57059.0,0.14,7965.0,,43518.5,61824.2,0.5958,11998.0,5798.0,0.7219
2235,SUNY Buffalo State University,Buffalo,NY,3,11.0,0.8454,570.0,590.0,6024.0,8486.0,18396.0,0.412,0.483,0.2687,1,1038.0,14386.0,2750.0,14386.0,3240.0,42200,15.0,43448.0,53536.0,0.09,8324.0,,32331,55484,0.5018,12199.0,4702.0,0.5649
2236,SUNY Cortland,Cortland,NY,3,32.0,0.605,620.0,620.0,5974.0,8815.0,18725.0,0.6491,0.8028,0.5082,1,1200.0,13200.0,2935.0,13260.0,2935.0,49200,15.0,54342.0,61483.0,0.18,7073.0,,72219,68027.03,0.6274,10032.0,5658.0,0.8245
2237,SUNY at Fredonia,Fredonia,NY,3,32.0,0.9075,650.0,630.0,3540.0,8760.0,18670.0,0.6198,0.7285,0.4739,1,1200.0,13580.0,1950.0,13580.0,1950.0,44700,13.0,45829.0,51457.0,0.12,7571.0,,59673,60720.74,0.6865,12891.0,4326.0,0.7514
2238,SUNY College at Geneseo,Geneseo,NY,3,32.0,0.7385,660.0,660.0,4450.0,8927.0,18837.0,0.7611,0.8339,0.6925,1,1000.0,14280.0,2500.0,14280.0,2500.0,53400,16.0,56223.0,68013.0,0.24,8169.0,,77511,69095.17,0.4767,11633.0,4932.0,0.8432
2239,State University of New York at New Paltz,New Paltz,NY,3,21.0,0.4614,668.0,650.0,6142.0,8523.0,18433.0,0.7334,0.8214,0.5828,1,1500.0,14494.0,2870.0,14494.0,2870.0,48700,15.0,54968.0,54739.0,0.18,7659.0,,48878,72171.58,0.4217,12048.0,5307.0,0.8476
2240,SUNY Oneonta,Oneonta,NY,3,33.0,0.6961,,,5374.0,8786.0,18696.0,0.7398,0.7582,0.646,1,1200.0,14580.0,2202.0,14120.0,2402.0,46700,16.0,51826.0,58737.0,0.2,7228.0,,72278,67183.32,0.5078,9746.0,4542.0,0.7947
2241,State University of New York at Oswego,Oswego,NY,3,32.0,0.7965,640.0,640.0,6095.0,8769.0,18679.0,0.6637,0.7454,0.5381,1,1000.0,14640.0,2300.0,14640.0,2300.0,47100,16.0,47602.0,58539.0,0.15,7530.0,,50004.5,60525.69,0.5278,11036.0,5427.0,0.7814
2242,SUNY College at Potsdam,Potsdam,NY,3,33.0,0.8133,,,2346.0,8712.0,18622.0,0.4976,0.6711,0.3432,1,950.0,13950.0,1790.0,10052.0,2070.0,41300,10.0,45249.0,51788.0,0.13,6823.0,,40619,56041.37,0.646,15377.0,4412.0,0.7389
2243,SUNY at Purchase College,Purchase,NY,3,21.0,0.7541,670.0,650.0,3369.0,8953.0,18863.0,0.635,0.7856,0.5553,1,1240.0,14548.0,3280.0,14548.0,3920.0,41300,13.0,42115.0,48964.0,0.13,7772.0,,49814.5,76919.71,0.3669,15095.0,5778.0,0.7857
2244,SUNY College of Optometry,New York,NY,4,11.0,,,,,,,,,,1,,,,,,84400,,,,PrivacySuppressed,11341.0,,2618.5,75449.19,,59479.0,31653.0,
2245,SUNY College at Old Westbury,Old Westbury,NY,3,21.0,0.7657,640.0,620.0,3936.0,8379.0,18289.0,0.4812,0.7331,0.3091,1,2500.0,12310.0,1960.0,25192.0,4300.0,47500,15.0,53205.0,61174.0,0.09,9375.0,,30996,73417.13,0.2329,10676.0,4563.0,0.7403
2246,SUNY College at Plattsburgh,Plattsburgh,NY,3,32.0,0.6796,620.0,620.0,4286.0,8911.0,18821.0,0.6466,0.7194,0.5052,1,1320.0,14740.0,2750.0,14740.0,2750.0,46200,16.0,50187.0,56120.0,0.17,7480.0,,50769,61507.99,0.5647,11850.0,5614.0,0.7574
2247,SUNY Downstate Health Sciences University,Brooklyn,NY,3,11.0,,,,193.0,,,,,,1,,,,,,169600,9.0,108957.0,,0.30-0.34,12461.0,,25374.5,63618.17,0.4866,52442.0,23426.0,
2248,Empire State University,Saratoga Springs,NY,3,23.0,,,,7289.0,7630.0,17540.0,0.2372,0.6184,0.1379,1,1528.0,,,11600.0,2226.0,46800,15.0,44824.0,60395.0,0.06,7831.0,,26758,59452.57,0.3122,8170.0,6725.0,0.6316
2249,SUNY Maritime College,Throggs Neck,NY,3,11.0,0.7405,638.0,650.0,1399.0,8522.0,18432.0,0.7365,0.8209,0.5167,1,1500.0,14397.0,3600.0,14397.0,3600.0,86200,15.0,78819.0,88172.0,0.31-0.32,8112.0,,85119,80060.6,0.4368,15962.0,7673.0,0.8027
2250,Upstate Medical University,Syracuse,NY,3,12.0,,,,191.0,,,,,,1,,,,,,117300,6.0,71662.0,99619.0,0.20-0.29,6894.0,,35952,56534.38,0.5512,68503.0,25790.0,
2251,Swedish Institute a College of Health Sciences,New York,NY,2,11.0,,,,900.0,26041.0,26041.0,,,,2,2100.0,,,6254.0,3754.0,40500,15.0,30600.0,24861.0,0.05,5569.0,,13629.5,62353.69,0.4039,11160.0,28101.0,
2252,Syracuse University,Syracuse,NY,3,12.0,0.5919,690.0,710.0,14515.0,57591.0,57591.0,0.8245,0.9048,0.7174,1,1582.0,16895.0,1828.0,16895.0,1828.0,69200,14.0,70796.0,82249.0,0.22,12287.0,,78436,75289.41,0.3761,17299.0,28796.0,0.896
2253,Talmudical Seminary Oholei Torah,Brooklyn,NY,3,11.0,0.9524,,,393.0,11000.0,11000.0,0.0455,0.6905,0.0,1,200.0,8200.0,3800.0,15250.0,3800.0,30500,16.0,,28794.0,PrivacySuppressed,5455.0,,33800,50799.78,0.0,11246.0,14750.0,0.7609
2254,Talmudical Institute of Upstate New York,Rochester,NY,3,12.0,1.0,,,14.0,6150.0,6150.0,,0.5,,1,200.0,4400.0,3800.0,15250.0,3800.0,,14.0,,,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed,0.0,16999.0,12545.0,0.8182
2255,Teachers College at Columbia University,New York,NY,4,11.0,,,,,,,,,,1,,,,,,71400,,,,PrivacySuppressed,14677.0,,PrivacySuppressed,73021.11,,18850.0,30538.0,
2256,Tompkins Cortland Community College,Dryden,NY,2,31.0,,,,1365.0,6625.0,12280.0,,,,2,1200.0,11052.0,2700.0,11052.0,2700.0,34600,12.0,33637.0,43774.0,0.07,7476.0,,26771,52230.77,0.1366,5545.0,3572.0,
2257,Torah Temimah Talmudical Seminary,Staten Island,NY,3,11.0,1.0,,,39.0,11850.0,11850.0,0.0952,0.6667,0.0952,1,200.0,3700.0,3800.0,15250.0,3800.0,PrivacySuppressed,20.0,,,PrivacySuppressed,7394.0,,29639,47846.12,0.0,8474.0,5506.0,0.4118
2258,Touro University,New York,NY,3,11.0,0.7695,,,4329.0,20750.0,20750.0,0.6207,0.8695,0.5664,1,860.0,12774.0,5152.0,15634.0,5152.0,41400,10.0,43017.0,58513.0,0.15,8671.0,,24128,49299.36,0.2672,13270.0,24032.0,0.8864
2259,Trocaire College,Buffalo,NY,2,11.0,0.4744,,,1048.0,18700.0,18700.0,0.2273,,,1,2000.0,,,9900.0,3300.0,41400,12.0,47361.0,51419.0,0.09,6665.0,,28328.5,49589.13,0.7311,11116.0,20607.0,1.0
2260,Excelsior University,Albany,NY,3,13.0,,,,15260.0,,,,,,1,,,,,,PrivacySuppressed,19.0,60341.0,89779.0,0.08,5311.0,,37975,61130.25,0.1834,2197.0,12055.0,
2261,Ulster County Community College,Stone Ridge,NY,2,41.0,,,,1340.0,5740.0,10620.0,,,,2,1200.0,,,7500.0,3100.0,35600,19.0,35789.0,43328.0,0.11-0.12,5934.0,,24335.5,57912.61,0.0809,8461.0,3543.0,
2262,Union College,Schenectady,NY,3,13.0,0.4703,710.0,740.0,2072.0,61659.0,61659.0,0.8451,0.9142,0.7958,1,1500.0,15198.0,528.0,13698.0,528.0,80200,9.0,66799.0,86910.0,0.29-0.30,11561.0,,113111,79161.97,0.4612,23793.0,31922.0,0.8957
2263,Union Theological Seminary in the City of New York,New York,NY,4,11.0,,,,,,,,,,1,,,,,,PrivacySuppressed,,,,PrivacySuppressed,10882.0,,,65292.29,,43658.0,5551.0,
2264,United Talmudical Seminary,Brooklyn,NY,3,11.0,,,,1985.0,16000.0,16000.0,0.5084,0.8048,0.0021,1,550.0,4000.0,3500.0,6000.0,6300.0,26100,15.0,,23812.0,PrivacySuppressed,3658.0,,16516.5,41946.87,0.0,5018.0,10608.0,0.8636
2265,United States Merchant Marine Academy,Kings Point,NY,3,21.0,0.2521,660.0,670.0,1006.0,780.0,780.0,0.8118,0.9345,0.7366,1,3000.0,,1000.0,,,98600,13.0,,86792.0,0.40-0.59,10798.0,,77088,76831.57,0.0613,8736.0,0.0,0.9229
2266,United States Military Academy,West  Point,NY,3,31.0,0.1066,700.0,740.0,4594.0,,,0.8356,0.958,0.7865,1,,,,,,,7.0,,,PrivacySuppressed,10525.0,,,,,42436.0,0.0,0.9715
2267,Utica University,Utica,NY,3,13.0,0.8944,,,2810.0,24214.0,24214.0,0.6,0.7396,0.4357,1,780.0,12572.0,1877.0,12500.0,3015.0,48600,11.0,53608.0,61179.0,0.14,8347.0,,47546,55854.21,0.667,7391.0,13424.0,0.7601
2268,Vassar College,Poughkeepsie,NY,3,21.0,0.2015,760.0,780.0,2500.0,62870.0,62870.0,0.925,0.947,0.8696,1,900.0,15710.0,1350.0,16210.0,1350.0,61500,8.0,62607.0,67005.0,0.39-0.40,12340.0,,71194.5,80899.18,0.4316,31384.0,38246.0,0.9395
2269,Villa Maria College,Buffalo,NY,2,13.0,0.7557,580.0,530.0,448.0,25900.0,25900.0,0.3358,0.4773,0.3301,1,0.0,,,6550.0,3300.0,30000,8.0,33302.0,38775.0,0.05-0.09,4914.0,,23000.5,48601.33,0.7087,6411.0,15601.0,0.5232
2270,School of Visual Arts,New York,NY,3,11.0,0.7129,700.0,663.0,3521.0,45000.0,45000.0,0.739,0.8488,0.6252,1,1868.0,22600.0,5500.0,22600.0,5500.0,47800,8.0,48612.0,50671.0,0.19,3942.0,,47824,78955.6,0.2773,17261.0,36593.0,0.802
2271,Wagner College,Staten Island,NY,3,11.0,0.8173,,,1562.0,50330.0,50330.0,0.7174,0.8177,0.6329,1,903.0,14980.0,2463.0,14980.0,2463.0,64700,14.0,66593.0,82255.0,0.23-0.24,7912.0,,75806,80220.05,0.5691,9084.0,20977.0,0.7798
2272,Webb Institute,Glen Cove,NY,3,21.0,0.2045,740.0,770.0,105.0,56455.0,56455.0,0.7692,0.9259,0.7308,1,800.0,13580.0,5200.0,,,PrivacySuppressed,9.0,,,PrivacySuppressed,10675.0,,126242,77290.33,0.1683,28823.0,34.0,0.9245
2273,Wells College,Aurora,NY,3,42.0,0.683,,,341.0,32450.0,32450.0,0.5503,0.4628,0.5266,1,1050.0,14800.0,800.0,14800.0,800.0,39200,9.0,45545.0,48028.0,0.10-0.14,7042.0,,50331,61992.22,0.8067,11014.0,10796.0,0.4941
2274,The College of Westchester,White Plains,NY,2,13.0,0.978,,,750.0,22410.0,22410.0,0.4804,0.5,0.3704,1,1000.0,,,9520.0,4765.0,42500,18.0,38044.0,38967.0,0.05,6129.0,,19616,69010.8,0.6242,5472.0,16389.0,0.5939
2275,SUNY Westchester Community College,Valhalla,NY,2,21.0,,,,7917.0,5374.0,12414.0,,,,2,2400.0,,,9700.0,4200.0,43400,18.0,40907.0,48455.0,0.09,10677.0,,22111,72038.48,0.042,9067.0,3930.0,
2276,Westchester School of Beauty Culture,Mount Vernon,NY,1,21.0,,,,65.0,,,,,,3,,,,,,PrivacySuppressed,20.0,16657.0,,<=0.20,,1.0,14243,64592.08,0.3187,4909.0,7192.0,
2277,Word of Life Bible Institute,Pottersville,NY,1,42.0,,,,461.0,11204.0,11204.0,,,,2,500.0,8200.0,600.0,8200.0,600.0,32400,26.0,27190.0,43951.0,0.20-0.24,,,46013,61358.6,0.4624,460.0,6322.0,
2278,Yeshiva Karlin Stolin,Brooklyn,NY,3,11.0,,,,129.0,11800.0,11800.0,0.5,0.5,0.0,1,200.0,3600.0,3000.0,19000.0,3000.0,PrivacySuppressed,16.0,,,PrivacySuppressed,7960.0,,16151,45016.09,0.0,7739.0,8747.0,0.5128
2279,Yeshiva Derech Chaim,Brooklyn,NY,3,11.0,0.6765,,,109.0,12100.0,12100.0,0.1818,0.75,0.0,1,200.0,4800.0,3800.0,15250.0,3800.0,PrivacySuppressed,10.0,,,PrivacySuppressed,5910.0,,21809,48844.09,0.0,13714.0,6754.0,0.6667
2280,Yeshiva of Nitra Rabbinical College,Chester,NY,3,41.0,,,,176.0,12750.0,12750.0,0.2069,0.8776,0.0,1,300.0,6750.0,3000.0,18000.0,3000.0,32200,18.0,,32213.0,PrivacySuppressed,2665.0,,18949.5,52690.16,0.0,12730.0,13461.0,0.8073
2281,Yeshivath Shaar Hatorah,Kew Gardens,NY,3,11.0,0.825,,,68.0,17860.0,17860.0,0.5172,0.96,0.0345,1,120.0,2100.0,400.0,,,PrivacySuppressed,10.0,,,PrivacySuppressed,6530.0,,PrivacySuppressed,61945,0.0,17893.0,20617.0,0.9246
2282,Yeshiva University,New York,NY,3,11.0,0.627,,,2583.0,47500.0,47500.0,0.7992,0.9085,0.7085,1,1250.0,13000.0,5400.0,13283.0,5400.0,78800,7.0,54538.0,91576.0,0.29-0.30,12868.0,,63623,78671.25,0.1671,18017.0,22448.0,0.9028
2283,Yeshivath Viznitz,Monsey,NY,3,21.0,0.9153,,,744.0,8640.0,8640.0,0.7103,0.9634,0.0,1,200.0,3456.0,3800.0,15250.0,3800.0,19600,13.0,,22395.0,PrivacySuppressed,3273.0,,15600,59103.9,0.0,3136.0,5837.0,0.9681
2284,Yeshivath Zichron Moshe,South Fallsburg,NY,2,32.0,0.7143,,,174.0,13450.0,13450.0,0.6667,0.8333,0.0,1,200.0,4150.0,3800.0,15250.0,3800.0,PrivacySuppressed,22.0,,,PrivacySuppressed,3959.0,,30309,53198.27,0.0,10504.0,6669.0,0.7941
2285,College of the Albemarle,Elizabeth City,NC,2,32.0,,,,1722.0,2228.0,7346.0,,,,2,1121.0,,,10708.0,4473.0,24300,13.0,25329.0,37655.0,PrivacySuppressed,5628.0,,18320,45138.56,0.0,7285.0,1071.0,
2286,South Piedmont Community College,Polkton,NC,1,42.0,,,,1497.0,2015.0,6623.0,,,,2,1404.0,,,8947.0,8258.0,28000,13.0,29393.0,37692.0,PrivacySuppressed,5469.0,,19637.5,55560.16,0.0,5209.0,1026.0,
2287,Appalachian State University,Boone,NC,3,32.0,0.8469,650.0,650.0,18486.0,7410.0,23017.0,0.7274,0.8619,0.5701,1,800.0,9681.0,2908.0,10382.0,3628.0,43600,17.0,45171.0,53087.0,0.19,8058.0,,56100.5,61267.04,0.4243,8027.0,6660.0,0.8632
2288,Asheville-Buncombe Technical Community College,Asheville,NC,2,13.0,,,,4111.0,2632.0,8776.0,,,,2,2000.0,,,6876.0,5126.0,31600,12.0,31864.0,38849.0,0.06,5368.0,,20034,49675.09,0.0798,6179.0,1471.0,
2289,Barton College,Wilson,NC,3,31.0,0.986,560.0,590.0,1045.0,33430.0,33430.0,0.5183,0.7143,0.4358,1,500.0,10970.0,2850.0,9970.0,2850.0,39400,13.0,43781.0,52450.0,0.09-0.10,6036.0,,38256,54814.93,0.7448,7453.0,12967.0,0.7091
2290,Beaufort County Community College,Washington,NC,2,41.0,,,,1401.0,2518.0,8662.0,,,,2,1930.0,,,8881.0,3457.0,28200,10.0,29500.0,33094.0,<=0.02,5259.0,,17376,42960.94,0.0,8477.0,883.0,
2291,Belmont Abbey College,Belmont,NC,3,22.0,0.9891,623.0,583.0,1426.0,18500.0,18500.0,0.4578,0.6539,0.3929,1,1000.0,11590.0,2900.0,8000.0,3900.0,44400,14.0,42549.0,54498.0,0.11-0.12,5741.0,,56211,63374.1,0.5317,6115.0,10232.0,0.6767
2292,Bennett College,Greensboro,NC,3,11.0,0.7923,,,207.0,18550.0,18550.0,0.223,0.8571,0.1367,1,1400.0,8600.0,7322.0,8600.0,7322.0,32700,9.0,36538.0,,<=0.05,4799.0,,26482,60183.85,0.9483,21045.0,6342.0,0.6228
2293,Bladen Community College,Dublin,NC,1,42.0,,,,908.0,2558.0,8702.0,,,,2,2000.0,,,7400.0,5200.0,26300,9.0,26267.0,32732.0,PrivacySuppressed,6599.0,,16085,39488.06,0.0,5702.0,535.0,
2294,Blue Ridge Community College,Flat Rock,NC,2,21.0,,,,1830.0,2651.0,8795.0,,,,2,1682.0,,,9540.0,4709.0,29600,14.0,28107.0,39690.0,0.09-0.10,5583.0,,23192,51838.38,0.0875,5818.0,1260.0,
2295,Brevard College,Brevard,NC,3,31.0,0.4471,,,769.0,30250.0,30250.0,0.3226,0.6681,0.2561,1,1000.0,11400.0,2000.0,6750.0,2000.0,35300,10.0,35545.0,43140.0,0.10-0.14,5223.0,,42000,60482.97,0.7122,6318.0,12286.0,0.6303
2296,Brunswick Community College,Bolivia,NC,2,42.0,,,,1074.0,2532.0,8676.0,,,,2,1938.0,,,5850.0,6430.0,26500,12.0,27030.0,39334.0,PrivacySuppressed,4985.0,,18771,47730.38,0.0,9173.0,830.0,
2297,Cabarrus College of Health Sciences,Concord,NC,2,12.0,0.46,600.0,545.0,438.0,14370.0,14370.0,0.7895,,,1,1400.0,,,9920.0,5600.0,49900,7.0,57246.0,65635.0,0.10-0.14,7662.0,,42481,60990.75,0.8584,9783.0,10271.0,
2298,Caldwell Community College and Technical Institute,Hudson,NC,2,22.0,,,,2195.0,2537.0,8681.0,,,,2,1900.0,,,9500.0,1200.0,29700,18.0,30085.0,39199.0,<=0.05,5484.0,,19363.5,49352.27,0.0,7186.0,1213.0,
2299,Campbell University,Buies Creek,NC,3,31.0,0.8725,630.0,600.0,3313.0,38160.0,38160.0,0.5596,0.7385,0.404,1,900.0,13625.0,6115.0,13625.0,6115.0,58000,14.0,47693.0,55065.0,0.13,8805.0,,41354,56906.03,0.4481,11008.0,16048.0,0.7498
2300,Cape Fear Community College,Wilmington,NC,2,12.0,,,,8904.0,2748.0,8892.0,,,,2,1600.0,,,7594.0,6064.0,31600,14.0,31844.0,39772.0,0.07,5772.0,,20638,53286.87,0.0879,6435.0,1581.0,
2301,Carteret Community College,Morehead City,NC,1,32.0,,,,1202.0,2610.0,8754.0,,,,2,1250.0,,,10945.0,10548.0,28300,11.0,27523.0,35368.0,<=0.20,5222.0,,17302.5,51567.39,0.0,11864.0,1956.0,
2302,Catawba College,Salisbury,NC,3,22.0,0.5612,590.0,560.0,1132.0,32380.0,32380.0,0.5981,0.6846,0.537,1,1400.0,11130.0,3434.0,9048.0,3434.0,42700,11.0,39798.0,49011.0,0.13-0.14,7473.0,,48930,60564.51,0.6339,9187.0,23003.0,0.7038
2303,Catawba Valley Community College,Hickory,NC,1,13.0,,,,3030.0,2367.0,7743.0,,,,2,1900.0,,,11632.0,11710.0,30700,11.0,31010.0,40687.0,0.05-0.09,5372.0,,22585,54394,0.0,9779.0,1735.0,
2304,Central Carolina Community College,Sanford,NC,2,32.0,,,,3014.0,2554.0,8698.0,,,,2,1460.0,,,7180.0,6627.0,27800,12.0,27276.0,33283.0,PrivacySuppressed,5530.0,,19822.0,52619.73,0.0,6951.0,1134.0,
2305,Central Piedmont Community College,Charlotte,NC,2,11.0,,,,13449.0,2792.0,8936.0,,,,2,1870.0,,,8705.0,6643.0,31700,16.0,30819.0,37277.0,0.06,5818.0,,19740.5,64706.02,0.0,5264.0,1963.0,
2306,Chowan University,Murfreesboro,NC,3,32.0,0.7925,525.0,555.0,920.0,25880.0,25880.0,0.2862,0.6429,0.183,1,1000.0,9600.0,1690.0,9600.0,1690.0,36200,16.0,34374.0,40423.0,0.04,7239.0,,25410.0,53634.23,0.7627,5681.0,10717.0,0.6066
2307,Cleveland Community College,Shelby,NC,1,31.0,,,,1536.0,2602.0,8746.0,,,,2,1200.0,,,2700.0,900.0,26900,15.0,27048.0,36647.0,PrivacySuppressed,5393.0,,17997.0,48203.56,0.0,8834.0,1657.0,
2308,Coastal Carolina Community College,Jacksonville,NC,1,13.0,,,,2796.0,2462.0,8606.0,,,,2,2036.0,,,10941.0,5351.0,31000,14.0,29904.0,36743.0,PrivacySuppressed,5079.0,,23042.0,47323.89,0.0,6447.0,1327.0,
2309,Craven Community College,New Bern,NC,2,13.0,,,,2049.0,2022.0,6630.0,,,,2,1300.0,,,12456.0,5517.0,32900,12.0,29628.0,43519.0,<=0.05,5755.0,,21585.5,48945.18,0.0,6982.0,1352.0,
2310,Davidson-Davie Community College,Thomasville,NC,1,41.0,,,,2459.0,1978.0,6586.0,,,,2,1200.0,,,11745.0,4770.0,29000,17.0,29925.0,39160.0,0.05,6451.0,,20504.5,51984.22,0.1586,4705.0,811.0,
2311,Davidson College,Davidson,NC,3,21.0,0.178,,,1970.0,55200.0,55200.0,0.8961,0.948,0.8608,1,1000.0,15225.0,1775.0,,,71100,10.0,72645.0,80119.0,0.30-0.34,11790.0,,80076.0,76036.21,0.1155,19646.0,25171.0,0.9388
2312,Duke University,Durham,NC,3,11.0,0.0589,765.0,793.0,6815.0,60244.0,60244.0,0.9587,0.9772,0.8923,1,1434.0,16206.0,1976.0,,,114500,6.0,90337.0,108874.0,0.42,16996.0,,61560.0,78468.48,0.1651,64884.0,30214.0,0.9728
2313,Durham Technical Community College,Durham,NC,1,11.0,,,,3276.0,1958.0,6566.0,,,,2,1300.0,,,10872.0,4920.0,31800,7.0,31652.0,33429.0,0.03,5509.0,,18500.5,60561.26,0.07,6940.0,2188.0,
2314,East Carolina University,Greenville,NC,3,13.0,0.9389,,,21231.0,7297.0,23574.0,0.6578,0.8092,0.4492,1,1546.0,10450.0,3922.0,10450.0,3922.0,45800,18.0,47508.0,57427.0,0.14,8593.0,,51027.0,57608.05,0.4435,11522.0,7138.0,0.8223
2315,Edgecombe Community College,Tarboro,NC,2,41.0,,,,1391.0,2640.0,8784.0,,,,2,2250.0,,,7584.0,5313.0,26200,10.0,27066.0,30820.0,0.03,5567.0,,15321.5,44364.02,0.3907,9534.0,812.0,
2316,Elizabeth City State University,Elizabeth City,NC,3,32.0,0.7679,550.0,520.0,1807.0,3326.0,7326.0,0.3977,0.7333,0.197,1,1240.0,8509.0,1350.0,7710.0,1350.0,32200,16.0,36258.0,38794.0,0.02,7711.0,,23286.0,47337.89,0.5707,8478.0,2538.0,0.7449
2317,Elon University,Elon,NC,3,22.0,0.7771,,,6302.0,38725.0,38725.0,0.8333,0.8769,0.7913,1,900.0,13422.0,2600.0,13422.0,2600.0,58700,12.0,65273.0,69422.0,0.29,9501.0,,112797.0,81102.4,0.261,14211.0,29075.0,0.8868
2318,Fayetteville Technical Community College,Fayetteville,NC,2,12.0,,,,8332.0,2544.0,8688.0,,,,2,1356.0,,,7299.0,5166.0,30700,15.0,28854.0,35936.0,0.05,6531.0,,20350.0,50571.45,0.3484,6976.0,1882.0,
2319,Fayetteville State University,Fayetteville,NC,3,12.0,0.8206,520.0,520.0,4986.0,5379.0,16987.0,0.3732,0.6333,0.2281,1,420.0,9440.0,2387.0,8070.0,2387.0,34600,15.0,36725.0,39967.0,0.04,8414.0,,23815.0,49808.38,0.4766,7415.0,3037.0,0.646
2320,Forsyth Technical Community College,Winston-Salem,NC,1,12.0,,,,6465.0,2152.0,7168.0,,,,2,1700.0,,,7108.0,6562.0,30000,11.0,31339.0,34788.0,0.05,5652.0,,20000.0,54687.37,0.18,6209.0,1291.0,
2321,Gardner-Webb University,Boiling Springs,NC,3,32.0,0.7895,605.0,610.0,1980.0,32200.0,32200.0,0.4761,0.5936,0.3598,1,1850.0,10540.0,2400.0,5700.0,2600.0,41600,11.0,41533.0,50310.0,0.1,6977.0,,36485.5,54757.84,0.5944,7579.0,12223.0,0.6349
2322,Gaston College,Dallas,NC,1,22.0,,,,3474.0,2862.0,9006.0,,,,2,1460.0,,,7180.0,4280.0,28900,13.0,29417.0,39610.0,PrivacySuppressed,5922.0,,19769.0,53625.78,0.0,6141.0,1385.0,
2323,Greensboro College,Greensboro,NC,3,11.0,0.8814,,,608.0,18960.0,18960.0,0.3009,0.6842,0.2566,1,1400.0,11224.0,1400.0,11224.0,1400.0,41000,10.0,39427.0,47414.0,0.07-0.08,6117.0,,38100.0,63893.94,0.5885,7738.0,10299.0,0.6528
2324,Guilford College,Greensboro,NC,3,11.0,0.8209,630.0,570.0,1025.0,41140.0,41140.0,0.5466,0.5833,0.4534,1,1270.0,12800.0,1500.0,12800.0,1500.0,39500,12.0,40808.0,47920.0,0.11,6915.0,,37714.5,63141.25,0.4613,9016.0,11945.0,0.6529
2325,Guilford Technical Community College,Jamestown,NC,2,22.0,,,,8280.0,2289.0,7665.0,,,,2,826.0,,,9189.0,8487.0,30600,17.0,30078.0,35582.0,0.04,6238.0,,19749.5,55463.34,0.2611,5907.0,929.0,
2326,Halifax Community College,Weldon,NC,2,41.0,,,,498.0,2608.0,8752.0,,,,2,2000.0,,,13050.0,4500.0,26700,11.0,28523.0,33705.0,<=0.20,5711.0,,13674.0,38122.4,0.0,8741.0,588.0,
2327,Haywood Community College,Clyde,NC,1,21.0,,,,824.0,2580.0,8724.0,,,,2,1390.0,,,8822.0,5585.0,28000,6.0,26004.0,34956.0,<=0.10,5707.0,,18353.0,47721.5,0.0,9370.0,917.0,
