,INSTNM,CITY,STABBR,PREDDEG,LOCALE,ADM_RATE,SATVR75,SATMT75,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,C150_4,RET_FT4,C100_4,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,MN_EARN_WNE_P10,STUFACR,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10,BBRR4_FED_UG_PAIDINFULL,AVGFACSAL,PRGMOFR,MD_FAMINC,MEDIAN_HH_INC,PCTFLOAN,INEXPFTE,TUITFTE,RET_FT4_POOLED
1144,Emporia State University,Emporia,KS,3,33.0,0.8837,,,2859.0,7001.0,14918.0,0.4993,0.7367,0.3174,1,1000.0,9534.0,3878.0,9534.0,3878.0,40300,17.0,40660.0,49699.0,0.11,6934.0,,51017,56675.47,0.6118,7455.0,6648.0,0.7583
1145,Flint Hills Technical College,Emporia,KS,1,33.0,,,,338.0,6520.0,6520.0,,,,2,1700.0,,,6300.0,8106.0,34700,14.0,36579.0,49317.0,0.10-0.14,4050.0,,35141,47173.87,0.1408,7074.0,6851.0,
1146,Fort Hays State University,Hays,KS,3,33.0,0.9034,,,11024.0,5430.0,15870.0,0.505,0.7292,0.2938,1,1000.0,8414.0,4520.0,8414.0,4520.0,42700,15.0,40781.0,51399.0,0.12,7040.0,,42453.5,50801.46,0.307,5701.0,6127.0,0.7544
1147,Barclay College,Haviland,KS,3,43.0,0.5415,,,162.0,23850.0,23850.0,0.5,0.5,0.3333,1,1200.0,10440.0,3000.0,8000.0,3000.0,32500,9.0,26007.0,48244.0,<=0.10,4900.0,,37489.5,57474.39,0.6627,9067.0,21069.0,0.6977
1148,Friends University,Wichita,KS,3,11.0,0.5767,,538.0,978.0,30864.0,30864.0,0.4024,0.6154,0.2927,1,1500.0,7494.0,5195.0,7792.0,5195.0,46900,12.0,46281.0,58898.0,0.1,6656.0,,45678,60343.56,0.627,5268.0,12118.0,0.6388
1149,Fort Scott Community College,Fort Scott,KS,1,33.0,,,,990.0,3060.0,3510.0,,,,2,1200.0,6315.0,4042.0,6315.0,4042.0,35100,21.0,25731.0,42386.0,0.07-0.08,4284.0,,28863,47657.37,0.2294,9372.0,2526.0,
1150,Garden City Community College,Garden City,KS,1,33.0,,,,1408.0,3420.0,4020.0,,,,2,600.0,6826.0,4814.0,6438.0,3814.0,37000,15.0,32968.0,45848.0,0.09-0.10,6320.0,,32220,53413.92,0.4122,7106.0,2071.0,
1151,Haskell Indian Nations University,Lawrence,KS,3,13.0,0.9355,,,700.0,480.0,480.0,0.3256,,,1,1600.0,950.0,5620.0,12217.0,5620.0,27500,25.0,32954.0,35659.0,PrivacySuppressed,6571.0,,22822,43179.27,0.0,9919.0,339.0,
1152,Hays Academy of Hair Design,Hays,KS,1,33.0,,,,94.0,,,,,,3,,,,,,18700,10.0,23818.0,,0.10-0.19,,2.0,24157,45056.95,0.7719,4566.0,7658.0,
1153,Hesston College,Hesston,KS,2,32.0,,,,331.0,28440.0,28440.0,0.637,0.7143,0.75,1,1400.0,9768.0,3600.0,12400.0,3600.0,43800,9.0,44081.0,51240.0,0.15-0.19,4949.0,,53079.5,56658.51,0.8217,11505.0,12753.0,0.8158
1154,Highland Community College,Highland,KS,1,42.0,,,,1511.0,3235.0,3570.0,,,,2,693.0,6950.0,2387.0,6781.0,2303.0,36100,15.0,37383.0,45028.0,0.08,5707.0,,29737,52846.47,0.3026,3375.0,2221.0,
1155,Hutchinson Community College,Hutchinson,KS,2,32.0,,,,3137.0,3240.0,4470.0,,,,2,1000.0,6310.0,4788.0,7596.0,4788.0,37500,17.0,36635.0,48329.0,0.1,5003.0,,30354,52632.51,0.1394,5387.0,2326.0,
1156,Independence Community College,Independence,KS,2,33.0,,,,518.0,4260.0,4650.0,,,,2,816.0,5860.0,3200.0,5800.0,3000.0,31300,14.0,33348.0,39751.0,0.05-0.09,5694.0,,25419.5,46661.86,0.2569,5799.0,3659.0,
