,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
2544,Ohio Dominican University,Columbus,OH,3,11.0,0.5355,632.0,632.0,823.0,33380.0,33380.0,0.5565,0.5751,0.4857,1,1080.0,11450.0,2084.0,6390.0,5192.0,47100,14.0,45988.0,54122.0,0.08,6642.0
2545,Ohio Northern University,Ada,OH,3,31.0,0.689,640.0,660.0,2187.0,35380.0,35380.0,0.7599,0.8636,0.5895,1,1800.0,12650.0,2247.0,9198.0,2247.0,72600,12.0,72469.0,78228.0,0.25,8908.0
2555,Ohio State University-Main Campus,Columbus,OH,3,11.0,0.5718,700.0,740.0,45986.0,11936.0,35019.0,0.8799,0.9396,0.6697,1,1012.0,13392.0,2682.0,11952.0,2896.0,53600,18.0,52320.0,65807.0,0.2,13133.0
2560,Ohio University-Main Campus,Athens,OH,3,32.0,0.8855,650.0,640.0,17899.0,12840.0,22810.0,0.6689,0.8131,0.5067,1,918.0,11862.0,2996.0,11862.0,2996.0,45800,17.0,44972.0,56795.0,0.13,9297.0
2564,Ohio Wesleyan University,Delaware,OH,3,21.0,0.7402,690.0,700.0,1338.0,48832.0,48832.0,0.6434,0.7866,0.5851,1,1200.0,13288.0,1700.0,6500.0,1700.0,51600,11.0,49860.0,60186.0,0.19-0.20,8308.0
2565,Otterbein University,Westerville,OH,3,21.0,0.829,620.0,613.0,2180.0,33674.0,33674.0,0.6922,0.8016,0.6139,1,1390.0,11692.0,2958.0,7792.0,6782.0,46900,12.0,48673.0,54820.0,0.17,8187.0
2570,Pontifical College Josephinum,Columbus,OH,3,11.0,0.8,632.0,632.0,32.0,27900.0,27900.0,0.1875,0.75,0.0,1,1500.0,11627.0,7000.0,10448.44,4855.22,PrivacySuppressed,5.0,0.0,57642.0,PrivacySuppressed,5489.0
2573,Rabbinical College Telshe,Wickliffe,OH,3,21.0,0.8438,632.0,632.0,51.0,13700.0,13700.0,0.625,0.9333,0.625,1,600.0,3000.0,3500.0,18470.0,3000.0,PrivacySuppressed,10.0,0.0,0.0,PrivacySuppressed,3327.0
2583,Franciscan University of Steubenville,Steubenville,OH,3,13.0,0.6845,670.0,640.0,2443.0,30180.0,30180.0,0.7478,0.8166,0.6321,1,1200.0,9240.0,1870.0,5600.0,2170.0,42700,16.0,39242.0,59247.0,0.29-0.30,8463.0
2587,Tiffin University,Tiffin,OH,3,32.0,0.7374,632.0,632.0,1824.0,28480.0,28480.0,0.4519,0.6461,0.364,1,3000.0,12470.0,1500.0,12470.0,1500.0,47900,19.0,41968.0,52296.0,0.07,7083.0
2588,University of Toledo,Toledo,OH,3,11.0,0.9652,630.0,650.0,12016.0,11490.0,20850.0,0.5532,0.743,0.3163,1,1240.0,12908.0,3869.0,7838.0,5087.0,52800,20.0,44771.0,57212.0,0.14,9836.0
2595,Ursuline College,Pepper Pike,OH,3,21.0,0.8246,615.0,540.0,657.0,35720.0,35720.0,0.4912,0.7157,0.3246,1,0.0,11580.0,2600.0,7000.0,5500.0,50400,7.0,56185.0,62847.0,0.05-0.09,6064.0
2596,The North Coast College,Lakewood,OH,3,21.0,0.5,632.0,632.0,47.0,22800.0,22800.0,0.0909,0.0,0.0,1,1600.0,0.0,0.0,8655.0,4180.0,30300,6.0,28189.0,37534.0,<=0.10,0.0
2597,Walsh University,North Canton,OH,3,21.0,0.7992,600.0,620.0,1635.0,32315.0,32315.0,0.6856,0.7102,0.4556,1,1128.0,11390.0,2573.0,9198.0,2789.0,48300,14.0,51674.0,61531.0,0.14,6292.0
2599,Wilberforce University,Wilberforce,OH,3,41.0,0.388,630.0,517.0,528.0,13250.0,13250.0,0.1842,0.5784,0.0684,1,1200.0,7000.0,2000.0,6650.0,2000.0,38400,19.0,37416.0,38133.0,<=0.05,5461.0
2600,Wilmington College,Wilmington,OH,3,32.0,0.8688,570.0,580.0,1027.0,28770.0,28770.0,0.5271,0.6818,0.4946,1,1100.0,10600.0,2800.0,2650.0,3100.0,41900,13.0,42299.0,51358.0,0.09-0.10,5672.0
2602,Wittenberg University,Springfield,OH,3,13.0,0.9227,620.0,610.0,1256.0,42288.0,42288.0,0.6443,0.6953,0.5691,1,1600.0,11046.0,1600.0,11046.0,1600.0,49000,11.0,52376.0,61525.0,0.19,7587.0
2603,The College of Wooster,Wooster,OH,3,32.0,0.6063,720.0,710.0,1960.0,55500.0,55500.0,0.7686,0.8011,0.7014,1,1250.0,13100.0,1000.0,3500.0,1000.0,53000,11.0,54399.0,55849.0,0.21-0.22,8322.0
2604,Wright State University-Main Campus,Dayton,OH,3,21.0,0.9604,640.0,610.0,6879.0,10390.0,19808.0,0.4393,0.6527,0.2699,1,1400.0,12000.0,3170.0,12000.0,3170.0,46100,14.0,41929.0,55140.0,0.12,9714.0
2605,Wright State University-Lake Campus,Celina,OH,3,41.0,0.9841,420.0,470.0,1094.0,6968.0,16386.0,0.4127,0.6442,0.2547,1,1400.0,11300.0,3170.0,11300.0,3170.0,46100,13.0,41929.0,55140.0,0.12,10115.0
2606,Xavier University,Cincinnati,OH,3,11.0,0.8402,650.0,630.0,5124.0,42460.0,42460.0,0.7515,0.8327,0.6751,1,1300.0,13580.0,3200.0,13580.0,3200.0,58200,11.0,54335.0,72809.0,0.23,8860.0
