,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,InState_Tuition,OutOfState_Tuition,C150_4,RET_FT4,Completion_Rate_100%_Expected_Time,ICLEVEL,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,ROOMBOARD_OFF,OTHEREXPENSE_OFF,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary
1061,Buena Vista University,Storm Lake,IA,3,33.0,0.6598,583.0,557.0,1451.0,37518.0,37518.0,0.6278,0.7301,0.5605,1,1146.0,10370.0,2762.0,7645.0,6853.0,42600,11.0,43511.0,56206.0,0.11,6590.0
1064,Central College,Pella,IA,3,32.0,0.7452,630.0,630.0,1106.0,19250.0,19250.0,0.6614,0.7901,0.6044,1,1341.0,10552.0,3159.0,10552.0,3159.0,48400,12.0,48001.0,61103.0,0.19-0.20,7543.0
1065,Clarke University,Dubuque,IA,3,13.0,0.8878,550.0,570.0,702.0,36870.0,36870.0,0.5449,0.6507,0.4888,1,1514.0,10400.0,3457.0,10400.0,3457.0,44800,8.0,49298.0,56001.0,0.17-0.18,6360.0
1066,Coe College,Cedar Rapids,IA,3,12.0,0.7266,632.0,632.0,1347.0,48822.0,48822.0,0.6446,0.7391,0.5915,1,1000.0,10520.0,2670.0,10520.0,2670.0,50000,9.0,50833.0,59593.0,0.23-0.24,6664.0
1067,Cornell College,Mount Vernon,IA,3,31.0,0.811,710.0,695.0,1045.0,47726.0,47726.0,0.6377,0.7793,0.6341,1,1200.0,10556.0,3253.0,10556.0,3253.0,45400,12.0,48651.0,55308.0,0.17-0.18,7781.0
1070,Dordt University,Sioux Center,IA,3,33.0,0.7323,630.0,660.0,1411.0,34170.0,34170.0,0.741,0.8286,0.7123,1,1030.0,10780.0,3500.0,11230.0,4450.0,45300,14.0,37920.0,60442.0,0.45-0.46,6547.0
1071,Drake University,Des Moines,IA,3,12.0,0.6907,710.0,700.0,2857.0,45912.0,45912.0,0.7815,0.8385,0.6974,1,1100.0,11288.0,3825.0,11288.0,3825.0,68700,11.0,68524.0,82077.0,0.32,9853.0
1072,University of Dubuque,Dubuque,IA,3,13.0,0.7643,632.0,632.0,1582.0,36010.0,36010.0,0.3995,0.6187,0.2648,1,950.0,10300.0,900.0,10300.0,3790.0,42500,10.0,44817.0,53816.0,0.13,5974.0
1074,Emmaus Bible College,Dubuque,IA,3,13.0,0.9906,660.0,580.0,176.0,19550.0,19550.0,0.7458,0.5714,0.5238,1,600.0,8950.0,1670.0,4950.0,1380.0,36800,7.0,25531.0,53982.0,0.20-0.39,4638.0
1076,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,3,21.0,0.5614,610.0,570.0,297.0,18180.0,18180.0,0.56,0.8033,0.4468,1,1323.0,7318.0,3116.0,7318.0,3116.0,38700,15.0,33683.0,55084.0,0.40-0.49,5329.0
1077,Graceland University-Lamoni,Lamoni,IA,3,43.0,0.6662,550.0,570.0,922.0,31920.0,31920.0,0.474,0.6603,0.3875,1,1440.0,9810.0,3210.0,9810.0,3210.0,40200,13.0,45037.0,47223.0,0.09,6207.0
1078,Grand View University,Des Moines,IA,3,12.0,0.9955,530.0,550.0,1532.0,30864.0,30864.0,0.5075,0.7103,0.3947,1,848.0,10520.0,2940.0,10428.0,3692.0,45200,12.0,51301.0,57415.0,0.13,6849.0
1079,Grinnell College,Grinnell,IA,3,33.0,0.1054,750.0,780.0,1713.0,58648.0,58648.0,0.8688,0.925,0.8167,1,900.0,14350.0,2200.0,9037.69,3704.34,61000,9.0,59777.0,65950.0,0.35-0.39,11437.0
1088,Iowa State University,Ames,IA,3,13.0,0.9112,650.0,680.0,25537.0,9634.0,25446.0,0.7605,0.8805,0.5085,1,1000.0,9088.0,2430.0,9088.0,2430.0,56000,18.0,52522.0,69108.0,0.24,11796.0
1089,Iowa Wesleyan University,Mount Pleasant,IA,3,33.0,0.819,520.0,500.0,717.0,33650.0,33650.0,0.225,0.5118,0.1417,1,0.0,11340.0,2300.0,7110.0,2080.0,39900,12.0,44959.0,50143.0,0.05-0.09,5940.0
1091,University of Iowa,Iowa City,IA,3,13.0,0.8621,680.0,670.0,21198.0,9942.0,31905.0,0.7372,0.8798,0.5595,1,950.0,11780.0,3686.0,9652.0,4142.0,62000,15.0,57339.0,69918.0,0.21,11887.0
1097,Loras College,Dubuque,IA,3,13.0,0.7196,632.0,632.0,1236.0,35268.0,35268.0,0.6796,0.7755,0.6047,1,800.0,8760.0,2059.0,6536.0,2959.0,50200,11.0,48075.0,60369.0,0.25-0.26,6738.0
1098,Luther College,Decorah,IA,3,33.0,0.7607,630.0,688.0,1732.0,46760.0,46760.0,0.7255,0.8363,0.6613,1,1040.0,10360.0,3015.0,10360.0,3015.0,53200,11.0,51672.0,63830.0,0.27,7710.0
1099,Maharishi International University,Fairfield,IA,3,33.0,0.9483,632.0,632.0,652.0,16530.0,16530.0,0.35,0.7895,0.2,1,1000.0,7400.0,3800.0,7400.0,3800.0,30400,13.0,25654.0,28646.0,0.10-0.14,4236.0
1101,Mercy College of Health Sciences,Des Moines,IA,3,12.0,0.9697,632.0,632.0,950.0,19754.0,19754.0,0.5789,0.4375,0.45,1,1650.0,0.0,0.0,7080.0,6210.0,48000,9.0,54986.0,74200.0,0.15-0.16,6116.0
1102,Morningside University,Sioux City,IA,3,13.0,0.738,632.0,632.0,1188.0,35270.0,35270.0,0.5418,0.6648,0.4582,1,1250.0,10410.0,2900.0,10410.0,2900.0,47900,13.0,46324.0,63474.0,0.15-0.16,6973.0
1103,Mount Mercy University,Cedar Rapids,IA,3,12.0,0.8099,632.0,632.0,1280.0,36540.0,36540.0,0.5991,0.7758,0.5345,1,1320.0,10428.0,4104.0,8100.0,8032.0,48400,14.0,53160.0,60422.0,0.15-0.16,6341.0
1106,University of Northern Iowa,Cedar Falls,IA,3,13.0,0.8579,580.0,610.0,7812.0,9053.0,19753.0,0.6891,0.8069,0.4425,1,800.0,9160.0,2396.0,9160.0,2396.0,49700,16.0,47023.0,58923.0,0.2,8407.0
1107,Northwestern College,Orange City,IA,3,32.0,0.8302,610.0,630.0,1030.0,33590.0,33590.0,0.7077,0.8278,0.6577,1,1160.0,10000.0,2900.0,10000.0,2900.0,40200,12.0,43435.0,57742.0,0.31-0.32,7133.0
1114,Saint Ambrose University,Davenport,IA,3,12.0,0.7241,590.0,600.0,2220.0,33570.0,33570.0,0.6443,0.7538,0.5459,1,1320.0,11638.0,3308.0,10414.0,6620.0,50500,12.0,53092.0,66033.0,0.16,7644.0
1117,Simpson College,Indianola,IA,3,31.0,0.9083,620.0,660.0,1167.0,44030.0,44030.0,0.6894,0.6983,0.6522,1,1146.0,9654.0,3334.0,7792.0,3552.0,51200,11.0,49008.0,59168.0,0.15-0.16,6773.0
1123,Upper Iowa University,Fayette,IA,3,43.0,0.6492,555.0,510.0,2323.0,33609.0,33609.0,0.3855,0.5492,0.2827,1,1620.0,9410.0,3419.0,9410.0,3419.0,45500,12.0,48937.0,57142.0,0.08,5956.0
1124,Waldorf University,Forest City,IA,3,33.0,0.7229,632.0,632.0,2034.0,23666.0,23666.0,0.3116,0.4551,0.0452,1,1386.0,8062.0,3266.0,8062.0,3266.0,42400,24.0,38693.0,49771.0,0.1,5651.0
1125,Wartburg College,Waverly,IA,3,32.0,0.8275,598.0,600.0,1505.0,47500.0,47500.0,0.6989,0.735,0.663,1,1100.0,9990.0,1300.0,9990.0,1300.0,50600,14.0,52434.0,63606.0,0.23-0.24,6924.0
1129,William Penn University,Oskaloosa,IA,3,33.0,0.5768,520.0,510.0,1263.0,27200.0,27200.0,0.3214,0.6108,0.224,1,1318.0,7256.0,4826.0,6532.0,5550.0,46400,17.0,41812.0,48492.0,0.07,5872.0
1131,Baker University,Baldwin City,KS,3,31.0,0.9906,560.0,570.0,1206.0,31700.0,31700.0,0.6209,0.6651,0.4945,1,1200.0,9330.0,5190.0,8330.0,5190.0,59500,12.0,56497.0,70148.0,0.14,6603.0
1133,Benedictine College,Atchison,KS,3,32.0,0.985,690.0,660.0,2073.0,32630.0,32630.0,0.628,0.8052,0.437,1,1200.0,12250.0,5000.0,8900.0,5000.0,45000,13.0,40413.0,57463.0,0.25-0.26,6240.0
1134,Bethany College,Lindsborg,KS,3,33.0,0.7187,495.0,520.0,690.0,31215.0,31215.0,0.3043,0.3846,0.2609,1,870.0,12975.0,6500.0,9307.55,5029.68,45100,14.0,43333.0,49977.0,0.10-0.14,4668.0
1135,Bethel College-North Newton,North Newton,KS,3,32.0,0.706,590.0,570.0,478.0,31164.0,31164.0,0.4651,0.66,0.3333,1,700.0,9810.0,5157.0,10607.0,10642.0,45600,10.0,44106.0,50842.0,0.15-0.19,5648.0
1144,Emporia State University,Emporia,KS,3,33.0,0.8837,632.0,632.0,2859.0,7001.0,14918.0,0.4993,0.7367,0.3174,1,1000.0,9534.0,3878.0,9534.0,3878.0,40300,17.0,40660.0,49699.0,0.11,6934.0
1146,Fort Hays State University,Hays,KS,3,33.0,0.9034,632.0,632.0,11024.0,5430.0,15870.0,0.505,0.7292,0.2938,1,1000.0,8414.0,4520.0,8414.0,4520.0,42700,15.0,40781.0,51399.0,0.12,7040.0
1147,Barclay College,Haviland,KS,3,43.0,0.5415,632.0,632.0,162.0,23850.0,23850.0,0.5,0.5,0.3333,1,1200.0,10440.0,3000.0,8000.0,3000.0,32500,9.0,26007.0,48244.0,<=0.10,4900.0
1148,Friends University,Wichita,KS,3,11.0,0.5767,632.0,632.0,978.0,30864.0,30864.0,0.4024,0.6154,0.2927,1,1500.0,7494.0,5195.0,7792.0,5195.0,46900,12.0,46281.0,58898.0,0.1,6656.0
1151,Haskell Indian Nations University,Lawrence,KS,3,13.0,0.9355,632.0,632.0,700.0,480.0,480.0,0.3256,0.0,0.0,1,1600.0,950.0,5620.0,12217.0,5620.0,27500,25.0,32954.0,35659.0,PrivacySuppressed,6571.0
1161,University of Kansas,Lawrence,KS,3,13.0,0.925,660.0,670.0,18427.0,11166.0,28034.0,0.6603,0.8476,0.4989,1,1224.0,9900.0,3230.0,9639.0,3230.0,59300,17.0,55302.0,63410.0,0.19,10474.0
1162,Newman University,Wichita,KS,3,11.0,0.7165,632.0,632.0,865.0,34460.0,34460.0,0.6335,0.6875,0.5253,1,1282.0,9644.0,2880.0,10892.0,5064.0,47900,13.0,48092.0,62051.0,0.13-0.14,6302.0
1164,Kansas State University,Manhattan,KS,3,13.0,0.9561,632.0,632.0,15372.0,10420.0,26491.0,0.6842,0.8624,0.4148,1,1006.0,10100.0,4204.0,8236.0,4204.0,51900,19.0,47478.0,64275.0,0.21,9724.0
1165,Kansas Wesleyan University,Salina,KS,3,33.0,0.6764,632.0,632.0,758.0,31340.0,31340.0,0.3924,0.5684,0.3291,1,1200.0,10300.0,2000.0,6184.0,4040.0,43300,12.0,41188.0,54751.0,0.11-0.12,5833.0
1169,Manhattan Christian College,Manhattan,KS,3,13.0,0.4786,632.0,632.0,153.0,17605.0,17605.0,0.3205,0.5882,0.209,1,2100.0,9550.0,3100.0,14832.0,3332.0,38800,11.0,37889.0,48656.0,0.15-0.19,5143.0
1170,McPherson College,McPherson,KS,3,33.0,0.8462,632.0,632.0,825.0,32408.0,32408.0,0.526,0.6609,0.4271,1,1420.0,9718.0,3600.0,8530.0,7876.0,43500,14.0,42826.0,51216.0,0.10-0.14,7228.0
1171,MidAmerica Nazarene University,Olathe,KS,3,21.0,0.6465,480.0,510.0,1008.0,33840.0,33840.0,0.4474,0.6124,0.3243,1,1514.0,9562.0,7716.0,10608.0,9792.0,49600,10.0,48899.0,59364.0,0.15,7040.0
1175,Ottawa University-Ottawa,Ottawa,KS,3,32.0,0.6657,590.0,570.0,786.0,36780.0,36780.0,0.3355,0.5526,0.2566,1,1200.0,11934.0,3640.0,9250.0,3640.0,48100,11.0,46387.0,56018.0,0.08,6428.0
1177,Pittsburg State University,Pittsburg,KS,3,32.0,0.9364,632.0,632.0,4292.0,7744.0,19088.0,0.5234,0.7544,0.3089,1,1000.0,8196.0,4114.0,7934.0,4776.0,44400,15.0,42517.0,53921.0,0.13,7427.0
1179,University of Saint Mary,Leavenworth,KS,3,31.0,0.8094,632.0,632.0,791.0,31630.0,31630.0,0.4667,0.5204,0.3259,1,2550.0,8585.0,1980.0,8030.0,1980.0,42500,12.0,50429.0,57691.0,0.13-0.14,6188.0
1182,Southwestern College,Winfield,KS,3,32.0,0.6913,540.0,570.0,1145.0,34900.0,34900.0,0.4045,0.4912,0.3258,1,1000.0,8930.0,6782.0,7792.0,7564.0,54000,10.0,48576.0,59495.0,0.07-0.08,6636.0
1183,Sterling College,Sterling,KS,3,42.0,0.474,573.0,593.0,599.0,28500.0,28500.0,0.4317,0.5533,0.1007,1,1240.0,8936.0,4210.0,8936.0,4210.0,40500,10.0,39016.0,49791.0,0.10-0.14,4661.0
1184,Tabor College,Hillsboro,KS,3,33.0,0.5447,632.0,632.0,555.0,33400.0,33400.0,0.48,0.7544,0.42,1,0.0,9300.0,4010.0,9350.0,4500.0,45500,16.0,44940.0,47436.0,0.13-0.14,5100.0
1187,Wichita State University,Wichita,KS,3,11.0,0.9106,620.0,600.0,10466.0,8800.0,18165.0,0.4767,0.6866,0.247,1,1250.0,12610.0,3400.0,10759.0,3400.0,45400,19.0,47087.0,57844.0,0.12,8202.0
1189,Alice Lloyd College,Pippa Passes,KY,3,43.0,0.3582,610.0,530.0,613.0,14230.0,14230.0,0.2932,0.5619,0.2304,1,1400.0,7390.0,5100.0,3650.0,5200.0,41600,21.0,34503.0,41300.0,0.05-0.09,5133.0
1190,Asbury University,Wilmore,KY,3,31.0,0.7744,632.0,632.0,1335.0,32652.0,32652.0,0.6474,0.8359,0.5563,1,1380.0,8340.0,3090.0,5815.0,3636.0,40700,14.0,37284.0,49845.0,0.17-0.18,6601.0
1194,Bellarmine University,Louisville,KY,3,11.0,0.855,640.0,640.0,2356.0,44920.0,44920.0,0.6521,0.7696,0.5757,1,0.0,9420.0,6878.0,9420.0,6878.0,50600,12.0,54454.0,59786.0,0.21,7890.0
1195,Berea College,Berea,KY,3,32.0,0.3301,640.0,628.0,1454.0,43612.0,43612.0,0.6558,0.8367,0.4465,1,700.0,7484.0,2600.0,7484.0,2600.0,36300,9.0,37271.0,44030.0,0.25-0.29,8250.0
1198,Brescia University,Owensboro,KY,3,13.0,0.5313,590.0,600.0,702.0,26950.0,26950.0,0.4932,0.6644,0.3358,1,3000.0,10204.0,2100.0,11500.0,2100.0,48000,12.0,36049.0,46338.0,0.07-0.08,5703.0
1201,Centre College,Danville,KY,3,32.0,0.6798,695.0,770.0,1315.0,46000.0,46000.0,0.8636,0.8949,0.8503,1,1250.0,11600.0,1850.0,9430.0,2320.0,53800,9.0,53155.0,70050.0,0.35-0.39,8543.0
1205,University of the Cumberlands,Williamsburg,KY,3,33.0,0.8503,600.0,600.0,4379.0,9875.0,9875.0,0.4804,0.6712,0.3741,1,0.0,9300.0,5709.0,8640.0,9414.0,38200,20.0,37472.0,45110.0,0.15,5702.0
1206,Eastern Kentucky University,Richmond,KY,3,32.0,0.9835,590.0,590.0,10987.0,9752.0,20024.0,0.4777,0.7386,0.3433,1,0.0,9410.0,2800.0,9410.0,4600.0,39300,15.0,37457.0,50169.0,0.1,7301.0
1209,Georgetown College,Georgetown,KY,3,31.0,0.7453,632.0,632.0,1228.0,41200.0,41200.0,0.5638,0.723,0.5177,1,1250.0,10990.0,2234.0,8048.0,4104.0,50500,13.0,45319.0,54851.0,0.15-0.16,6516.0
1219,Kentucky State University,Frankfort,KY,3,32.0,0.652,632.0,632.0,1660.0,9020.0,12870.0,0.3719,0.7025,0.2059,1,1300.0,6690.0,998.0,7790.0,5612.0,31300,13.0,35628.0,38744.0,0.03,7182.0
1220,Kentucky Wesleyan College,Owensboro,KY,3,13.0,0.6723,560.0,580.0,774.0,29660.0,29660.0,0.4586,0.5508,0.326,1,1298.0,10850.0,2500.0,7504.0,3608.0,41700,12.0,37092.0,50135.0,0.05-0.09,5621.0
1221,University of Kentucky,Lexington,KY,3,11.0,0.9401,660.0,670.0,21358.0,12610.0,31608.0,0.6815,0.8573,0.5107,1,1000.0,14000.0,4080.0,14000.0,4080.0,54000,16.0,51267.0,61866.0,0.17,10967.0
1222,Kentucky Christian University,Grayson,KY,3,32.0,0.5768,530.0,500.0,514.0,22130.0,22130.0,0.3645,0.4452,0.3178,1,1200.0,8840.0,5144.0,8840.0,12700.0,36500,12.0,35279.0,43067.0,0.05-0.09,4822.0
1225,University of Louisville,Louisville,KY,3,11.0,0.7469,630.0,640.0,13815.0,12370.0,28716.0,0.6248,0.7666,0.4106,1,1200.0,9852.0,6782.0,9712.0,7564.0,48600,13.0,47081.0,58372.0,0.15,8177.0
1229,Midway University,Midway,KY,3,42.0,0.7774,570.0,550.0,1168.0,24850.0,24850.0,0.5833,0.6743,0.5435,1,1200.0,8600.0,7000.0,8600.0,7000.0,37400,15.0,39723.0,68309.0,0.07-0.08,6676.0
1230,Morehead State University,Morehead,KY,3,33.0,0.8983,632.0,632.0,5210.0,9462.0,14106.0,0.4481,0.7008,0.2996,1,1008.0,10040.0,2604.0,10630.0,2884.0,37000,15.0,37084.0,44899.0,0.08,6723.0
1231,Murray State University,Murray,KY,3,33.0,0.8516,610.0,590.0,6744.0,9252.0,18528.0,0.5587,0.7466,0.3735,1,1260.0,9868.0,4330.0,10717.0,4990.0,42300,16.0,38433.0,52338.0,0.13,7002.0
1233,Northern Kentucky University,Highland Heights,KY,3,21.0,0.8029,590.0,620.0,8982.0,10392.0,20448.0,0.478,0.7006,0.3058,1,800.0,11454.0,2500.0,11454.0,5364.0,41800,17.0,42351.0,54005.0,0.12,8016.0
1243,The Southern Baptist Theological Seminary,Louisville,KY,3,11.0,0.8028,650.0,600.0,853.0,11896.0,11896.0,0.4191,0.8346,0.3554,1,1700.0,7450.0,1500.0,2460.0,1500.0,0,18.0,0.0,0.0,PrivacySuppressed,7882.0
1244,Spalding University,Louisville,KY,3,11.0,0.8978,560.0,540.0,683.0,26550.0,26550.0,0.4246,0.5758,0.3017,1,1120.0,8266.0,7114.0,11632.0,9908.0,48300,10.0,46902.0,54602.0,0.11-0.12,6791.0
1246,Thomas More University,Crestview Hills,KY,3,21.0,0.9643,632.0,632.0,1446.0,34760.0,34760.0,0.5131,0.6321,0.3483,1,500.0,9688.0,3392.0,7651.0,6923.0,58900,13.0,51133.0,66776.0,0.13-0.14,6687.0
1247,Transylvania University,Lexington,KY,3,11.0,0.9197,670.0,660.0,970.0,42520.0,42520.0,0.7338,0.8415,0.7013,1,1000.0,12200.0,2350.0,12200.0,2350.0,50100,10.0,49433.0,59228.0,0.20-0.24,7750.0
1248,Union College,Barbourville,KY,3,33.0,0.5643,558.0,590.0,776.0,28889.0,28889.0,0.3709,0.6023,0.2817,1,1470.0,6700.0,3955.0,7475.0,3955.0,36400,13.0,37952.0,41934.0,0.09-0.10,4721.0
1249,Western Kentucky University,Bowling Green,KY,3,13.0,0.9848,632.0,632.0,12526.0,10992.0,27000.0,0.536,0.728,0.4005,1,1000.0,10708.0,2115.0,10708.0,5195.0,38600,18.0,37965.0,46962.0,0.1,7658.0
1255,Centenary College of Louisiana,Shreveport,LA,3,12.0,0.6313,640.0,610.0,514.0,38060.0,38060.0,0.5669,0.6776,0.5223,1,1300.0,13940.0,4200.0,9940.0,4800.0,52500,8.0,47522.0,51158.0,0.10-0.14,7865.0
1261,Dillard University,New Orleans,LA,3,11.0,0.5522,555.0,565.0,1200.0,19284.0,19284.0,0.5203,0.7299,0.402,1,1300.0,10466.0,4260.0,9795.0,5160.0,37900,13.0,36137.0,38565.0,<=0.02,5866.0
1263,Grambling State University,Grambling,LA,3,32.0,0.7246,520.0,520.0,4405.0,7683.0,16706.0,0.2885,0.6933,0.1167,1,1800.0,10990.0,5190.0,9932.0,5190.0,32800,24.0,33609.0,37370.0,0.01,6007.0
1268,Louisiana State University-Alexandria,Alexandria,LA,3,41.0,0.5829,640.0,570.0,3176.0,6884.0,14024.0,0.2651,0.57,0.1943,1,1220.0,9500.0,3332.0,9072.0,3918.0,36300,15.0,37292.0,46921.0,0.09,6171.0
1269,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,3,12.0,0.7086,660.0,660.0,26455.0,11958.0,28635.0,0.6899,0.8291,0.4294,1,1038.0,13154.0,7686.0,15128.0,7686.0,60100,22.0,51745.0,70402.0,0.16,10249.0
1271,Louisiana State University-Shreveport,Shreveport,LA,3,12.0,0.9073,510.0,560.0,2196.0,7327.0,20481.0,0.3775,0.6204,0.2277,1,1300.0,8783.0,4290.0,9932.0,5190.0,41000,24.0,41841.0,53433.0,0.06,8496.0
1275,Louisiana Christian University,Pineville,LA,3,23.0,0.7609,520.0,560.0,869.0,17950.0,17950.0,0.2749,0.5877,0.1805,1,1300.0,6300.0,2990.0,9932.0,4262.0,48300,11.0,39885.0,48498.0,0.11-0.12,5973.0
1277,Louisiana Tech University,Ruston,LA,3,32.0,0.6583,630.0,650.0,7785.0,10065.0,16806.0,0.5887,0.8104,0.3921,1,900.0,9210.0,3870.0,9573.0,4644.0,49200,20.0,43532.0,59934.0,0.13,8220.0
1278,Loyola University New Orleans,New Orleans,LA,3,11.0,0.7827,632.0,632.0,3230.0,43498.0,43498.0,0.6212,0.8073,0.5394,1,1300.0,13992.0,3190.0,13992.0,3190.0,52300,14.0,49836.0,50072.0,0.14,8113.0
1279,McNeese State University,Lake Charles,LA,3,13.0,0.6876,560.0,610.0,5202.0,8380.0,16418.0,0.4216,0.6944,0.226,1,1300.0,9344.0,5190.0,9932.0,5190.0,45000,19.0,39276.0,56377.0,0.11,7156.0
1280,University of New Orleans,New Orleans,LA,3,11.0,0.8058,640.0,640.0,5629.0,9072.0,13908.0,0.389,0.5788,0.2022,1,1300.0,11496.0,5480.0,9795.0,5480.0,43500,19.0,43186.0,52122.0,0.09,8320.0
1282,Nicholls State University,Thibodaux,LA,3,13.0,0.9719,605.0,623.0,5181.0,7946.0,9039.0,0.5025,0.6967,0.2631,1,1300.0,10408.0,4362.0,9932.0,5262.0,43800,16.0,39734.0,54768.0,0.1,6558.0
1283,University of Louisiana at Monroe,Monroe,LA,3,13.0,0.6989,580.0,690.0,5376.0,9058.0,21158.0,0.5353,0.6928,0.3486,1,1300.0,9390.0,4690.0,9932.0,5190.0,46300,18.0,40730.0,54097.0,0.09,7535.0
1285,Northwestern State University of Louisiana,Natchitoches,LA,3,33.0,0.9628,580.0,540.0,7513.0,8672.0,19460.0,0.4412,0.6384,0.2786,1,1300.0,9929.0,5190.0,9932.0,5190.0,39600,19.0,40665.0,50144.0,0.06,6720.0
1286,University of Holy Cross,New Orleans,LA,3,11.0,0.75,632.0,632.0,530.0,15280.0,15280.0,0.2976,0.6731,0.0602,1,1300.0,8957.0,5325.0,9795.0,5160.0,40700,10.0,44441.0,57222.0,0.05-0.06,7604.0
1287,Franciscan Missionaries of Our Lady University,Baton Rouge,LA,3,12.0,0.5453,632.0,632.0,906.0,14938.0,14938.0,0.3867,0.7857,0.0476,1,1200.0,0.0,0.0,15723.0,5190.0,49400,10.0,51333.0,72890.0,0.09,6916.0
1298,Southeastern Louisiana University,Hammond,LA,3,13.0,0.9894,632.0,632.0,10106.0,8289.0,20767.0,0.3762,0.6433,0.1916,1,1300.0,9430.0,5190.0,9656.0,5190.0,42800,18.0,40480.0,50643.0,0.09,7004.0
1299,Southern University and A & M College,Baton Rouge,LA,3,12.0,0.5888,515.0,500.0,5178.0,9842.0,17192.0,0.3195,0.667,0.0977,1,1300.0,9366.0,3975.0,9996.0,4932.0,39600,20.0,38994.0,45146.0,0.01,5658.0
1300,Southern University at New Orleans,New Orleans,LA,3,11.0,0.7929,632.0,632.0,1293.0,7059.0,15960.0,0.1899,0.3212,0.0782,1,1300.0,9040.0,4230.0,9656.0,5130.0,32100,16.0,33327.0,39905.0,0.01,6913.0
1302,University of Louisiana at Lafayette,Lafayette,LA,3,12.0,0.7835,610.0,588.0,12612.0,10346.0,24074.0,0.5013,0.7476,0.2295,1,1300.0,11784.0,4290.0,11784.0,5190.0,46400,19.0,41536.0,54532.0,0.09,8363.0
1304,Tulane University of Louisiana,New Orleans,LA,3,11.0,0.0963,740.0,770.0,8700.0,60814.0,60814.0,0.8597,0.9389,0.7736,1,1200.0,16778.0,2440.0,16778.0,2440.0,86300,8.0,54741.0,65743.0,0.2,12223.0
1305,Xavier University of Louisiana,New Orleans,LA,3,11.0,0.9541,570.0,580.0,2727.0,26398.0,26398.0,0.5,0.6932,0.3651,1,1300.0,10302.0,2190.0,12645.0,2190.0,64500,13.0,49927.0,55709.0,0.07,9315.0
1306,College of the Atlantic,Bar Harbor,ME,3,33.0,0.6114,632.0,632.0,369.0,43542.0,43542.0,0.6667,0.8072,0.5309,1,600.0,9747.0,1080.0,5220.0,1080.0,27800,10.0,32959.0,0.0,0.10-0.19,8679.0
1307,Bates College,Lewiston,ME,3,13.0,0.1731,632.0,632.0,1821.0,59062.0,59062.0,0.9167,0.9163,0.8798,1,900.0,16658.0,1250.0,8675.46,2357.08,74300,10.0,60027.0,73551.0,0.30-0.34,11113.0
1309,Bowdoin College,Brunswick,ME,3,31.0,0.0882,632.0,632.0,1948.0,58322.0,58322.0,0.9378,0.9719,0.8855,1,840.0,15898.0,1250.0,8675.46,2357.08,83300,9.0,65872.0,70532.0,0.30-0.34,12865.0
1312,Colby College,Waterville,ME,3,33.0,0.0887,750.0,780.0,2262.0,61220.0,61220.0,0.8661,0.9459,0.813,1,850.0,15745.0,850.0,5905.0,850.0,71000,10.0,81023.0,87354.0,0.30-0.34,11594.0
1317,University of Maine at Farmington,Farmington,ME,3,33.0,0.9669,632.0,632.0,1380.0,9590.0,20780.0,0.5548,0.6568,0.4206,1,900.0,10336.0,3046.0,10336.0,3046.0,37500,11.0,37417.0,34956.0,0.13,7595.0
1318,University of Maine at Fort Kent,Fort Kent,ME,3,43.0,0.9988,632.0,632.0,784.0,8505.0,12915.0,0.3983,0.7143,0.25,1,1000.0,9120.0,2500.0,7500.0,2766.0,37700,12.0,36634.0,0.0,0.11-0.12,6895.0
1319,University of Maine,Orono,ME,3,23.0,0.9646,650.0,630.0,9246.0,11986.0,33586.0,0.5679,0.7556,0.3944,1,1000.0,11712.0,2270.0,11712.0,2270.0,48300,16.0,42938.0,57088.0,0.15,10165.0
1320,Maine Maritime Academy,Castine,ME,3,42.0,0.5771,632.0,632.0,868.0,14338.0,29258.0,0.7246,0.8056,0.5437,1,1000.0,10910.0,3000.0,10910.0,3000.0,107200,9.0,0.0,95012.0,0.21-0.22,0.0
1321,University of Maine at Presque Isle,Presque Isle,ME,3,41.0,0.9988,632.0,632.0,983.0,8495.0,12905.0,0.3545,0.6667,0.2443,1,900.0,9010.0,2500.0,6100.0,2500.0,35300,19.0,24100.0,30998.0,0.09-0.10,7532.0
1322,University of New England,Biddeford,ME,3,22.0,0.8999,632.0,632.0,2224.0,39820.0,39820.0,0.6314,0.758,0.5983,1,1400.0,15650.0,2750.0,9700.0,3650.0,51000,12.0,48950.0,44301.0,0.19,8953.0
1325,Maine College of Art & Design,Portland,ME,3,13.0,0.7207,632.0,632.0,407.0,38690.0,38690.0,0.4404,0.6378,0.3945,1,1250.0,13640.0,2100.0,8100.0,2100.0,32800,9.0,35286.0,0.0,0.10-0.14,6331.0
