,School_Name,City,State,PREDDEG,LOCALE,Admission_Rate,ACT_Reading_Scores_75th_Percentile,ACT_Math_Scores_75th_Percentile,Undergraduate_Enrollment,In-State_Tuition,Out-Of-State_Tuition,C150_4,Completion_Rate_100%_Expected_Time,ICLEVEL,Book_And_Supply,Room_Board_On_Campus,Other_Expense_On_Campus,Room_Board_Off,Other_Expenses_Off_Campus,Mean_Earnings_10_Years_Post_Grad,Student_Faculty_Ratio,Median_Woman_Earnings_Post_Grad,Median_Male_Earnings_Post_Grad,Percentage_Federal_Loans_Paid_After_4Years,Average_Faculty_Salary,PRGMOFR,MD_FAMINC,Median_Household_Income,Percent_Undergrads_Received_Federal_Loans,Instructional_Expenditures_Per_Full_Time_Student,Net_Tuition_Revenue_Per_Full_Time_Student,First_Year_Student_Retention_Rate
819,University of Hawaii Maui College,Kahului,HI,2,13,1,635,624,1915,3278,8414,0.3055,0.1111,1,1350,10950.8169,3863.484507,15896,4988,34200,15,34887,38852,0.09,9045,,21722,67245.41,0.0518,18388,3247,0.75
820,University of Hawaii-West Oahu,Kapolei,HI,3,21,0.9462,650,570,2651,7584,20544,0.3682,0.1339,1,1350,10950.8169,3863.484507,16104,4936,41100,18,51531,56891,0.15,10225,,28758,74812.42,0.2383,11799,5404,0.6812
824,Boise State University,Boise,ID,3,12,0.8313,635,624,17075,8060,24980,0.5362,0.3067,1,1240,13459,4336,10423,4714,43100,20,41686,54019,0.15,8627,,42915,58298.66,0.305,7859,9383,0.7694
826,Idaho State University,Pocatello,ID,3,13,1,635,624,6842,7872,25326,0.3909,0.1959,1,1000,7340,5930,8370,5930,43900,13,36449,56371,0.12,7968,,35747.5,52463.75,0.3126,12445,8519,0.64
827,University of Idaho,Moscow,ID,3,32,0.8138,620,600,6861,8340,27576,0.5925,0.383,1,1232,9610,3072,9610,3072,47000,16,45537,58028,0.16,9870,,45018,54125.14,0.3624,11230,10423,0.7568
829,Lewis-Clark State College,Lewiston,ID,3,13,1,635,624,2441,6982,20238,0.3718,0.2107,1,1400,7860,2800,7860,2800,38200,15,40814,49982,0.13,6789,,31207,49266.88,0.3166,8367,5012,0.6187
836,College of Southern Idaho,Twin Falls,ID,2,33,1,635,624,3550,3360,6840,0.2673,,1,990,5750,4448,5022,4448,33700,22,32381,46367,0.1,6195,,30300,48219.28,0.0769,6065,2599,
1810,Highlands College of Montana Tech,Butte,MT,1,33,1,635,624,312,3590,9390,,,2,1320,10658,4374,10658,4374,52100,13,39538,60666,0.16,8322,,38398,44236.75,0.2297,5802,4195,
1815,Montana State University Billings,Billings,MT,3,12,1,635,624,2818,6022,19352,0.2813,0.1355,1,1540,7956,4740,7956,4740,38700,15,36082,52391,0.13,6706,,34882.5,48720.57,0.3515,6914,5650,0.5759
1821,Helena College University of Montana,Helena,MT,2,33,1,635,624,637,3477,9570,,,2,1420,10950.8169,3863.484507,7851,6747,39600,17,33872,45124,0.13,5577,,29338,50421.45,0.3021,7137,3193,
1825,Montana State University,Bozeman,MT,3,33,0.73,650,650,14329,7528,28264,0.5452,0.3105,1,1450,10400,3908,10400,3908,48900,18,45110,58763,0.2,8598,,56045,53207.14,0.3393,8484,11707,0.7687
1826,The University of Montana,Missoula,MT,3,13,0.8214,660,620,7026,7432,28416,0.4772,0.3259,1,1100,11054,3450,11054,4150,43300,15,40221,48175,0.12,8380,,36050,50573.68,0.4407,10682,9731,0.7484
1827,Montana State University-Northern,Havre,MT,3,33,1,635,624,838,5955,18665,0.3134,0.2375,1,1400,6470,3200,7700,3200,40400,14,36369,52396,0.13,6108,,35266,43741.63,0.3785,9960,7921,0.6971
1830,The University of Montana-Western,Dillon,MT,3,33,0.3333,635,624,1283,5726,17190,0.4178,0.24,1,924,8280,3600,11206,3600,36700,14,33563,49486,0.11,7052,,42280,47125.83,0.4873,7639,5083,0.7295
1868,University of Nevada-Las Vegas,Las Vegas,NV,3,12,0.8348,635,624,24835,8737,24828,0.4715,0.1938,1,1240,11512,4926,11430,6596,49600,18,49969,59220,0.14,10839,,34261,70070.97,0.2714,12269,7479,0.786
1869,University of Nevada-Reno,Reno,NV,3,11,0.8816,640,630,16274,8588,24680,0.6268,0.3979,1,1200,12216,4792,12216,4792,56300,17,54508,67144,0.19,10322,,48103,68050.29,0.2884,12091,8227,0.7949
1986,Eastern New Mexico University-Main Campus,Portales,NM,3,33,0.325,570,530,2861,6648,8688,0.3993,0.2142,1,950,7814,4498,7498,4498,34800,16,31346,44369,0.1,7244,,28573,42974.58,0.2271,6333,5217,0.6035
1989,New Mexico Highlands University,Las Vegas,NM,3,33,1,635,624,1451,6876,11532,0.2651,0.1779,1,1144,8908,3968,10352,3968,37800,11,40503,41989,0.07,6302,,24029,44721.61,0.54,10714,7064,0.5909
1993,New Mexico Institute of Mining and Technology,Socorro,NM,3,33,0.9672,660,660,1201,8425,24254,0.5526,0.3063,1,800,8518,3450,8518,3450,58500,10,53475,65006,0.25,9083,,39182,52104.89,0.4532,11883,6489,0.7826
1996,New Mexico State University-Alamogordo,Alamogordo,NM,2,41,1,635,624,461,2064,5376,,,2,1240,10950.8169,3863.484507,8898,4244,40300,10,33196,45212,0.09,6896,,23951,43867.23,0.0956,12925,3787,
2001,Northern New Mexico College,Espanola,NM,2,32,1,635,624,876,4952,13676,0.3644,0.102,1,1200,10950.8169,3863.484507,8506,4688,30000,11,39463,39052,0.1,6355,,16868,43101.41,0.047,10709,5289,0.4634
2007,University of New Mexico-Taos Campus,Ranchos de Taos,NM,2,41,1,635,624,813,1872,4752,,,2,1178,10950.8169,3863.484507,10396,4230,43900,25,39521,48892,0.1,6049,,27972,49538.77,0.0361,6869,1492,
2010,Western New Mexico University,Silver City,NM,3,33,1,635,624,1528,6558,13541,0.2928,0.1895,1,1600,10590,4288,10590,4288,35800,12,31724,42877,0.07,6853,,21494,39573.76,0.3319,7545,5794,0.6658
2415,Mayville State University,Mayville,ND,3,43,0.6099,635,624,866,7622,10756,0.3185,0.1811,1,1000,8955,3100,8955,3100,43300,14,41972,53001,0.13,6135,,47272,51474.96,0.4524,8504,6660,0.6245
2416,Minot State University,Minot,ND,3,33,0.8838,600,600,2248,8164,8164,0.465,0.2675,1,1100,6892,3650,6892,3650,46900,11,42504,56315,0.2,7348,,51786.5,47057.03,0.3863,7994,6602,0.7212
2417,University of North Dakota,Grand Forks,ND,3,13,0.8903,630,660,8998,10596,15037,0.6178,0.3983,1,800,9922,3446,9922,3446,57800,17,53433,71034,0.24,9136,,78651,56722.24,0.4511,17790,15459,0.7906
2420,North Dakota State University-Main Campus,Fargo,ND,3,12,0.9546,640,673,9932,10601,15076,0.6487,0.4122,1,800,9078,3400,9078,3400,55500,18,51542,66926,0.29,9434,,80195,55831.54,0.5172,10490,10452,0.7901
2426,Valley City State University,Valley City,ND,3,33,0.8145,585,605,942,8195,12969,0.5318,0.3468,1,1100,6919,3802,6919,3802,41700,13,43091,53897,0.21,6273,,59878,48927.68,0.3595,11036,6158,0.6667
2666,Eastern Oregon University,La Grande,OR,3,33,0.9768,635,624,2397,9696,22386,0.3819,0.2686,1,1260,10455,3258,10455,3258,44100,15,44739,52366,0.09,7819,,32240,52895.14,0.4207,7354,8637,0.6734
2683,Oregon Institute of Technology,Klamath Falls,OR,3,33,0.9062,650,650,3257,11622,32515,0.5556,0.2809,1,1225,10214,3568,12040,3568,57800,15,58593,80269,0.2,8499,,36182,52974.7,0.2949,9605,9092,0.7164
2684,Oregon State University,Corvallis,OR,3,13,0.8921,680,690,27038,12188,31579,0.6818,0.4059,1,600,13860,2754,13860,2745,56700,18,52655,69532,0.19,10714,,44450,60312.67,0.3305,11183,12585,0.8567
2694,Portland State University,Portland,OR,3,11,0.9843,640,610,15674,10386,29286,0.5381,0.2881,1,1200,13500,3210,13500,3210,50800,19,51038,59725,0.12,10304,,25986,62889.32,0.3637,9642,10003,0.7556
2698,Southern Oregon University,Ashland,OR,3,22,0.897,630,600,3208,11142,28962,0.4103,0.2833,1,999,15066,1500,11501,1500,43400,20,44888,50409,0.11,9106,,32578,54749.32,0.327,8758,8027,0.6851
2707,Western Oregon University,Monmouth,OR,3,31,0.9157,635,624,3524,10269,29709,0.4834,0.2748,1,1200,10803,2460,10146,2460,43400,12,46144,55751,0.12,6984,,41710,59410.15,0.7641,9312,7589,0.6817
2995,Black Hills State University,Spearfish,SD,3,32,0.9725,580,570,2042,9000,12100,0.4248,0.2626,1,1200,7400,4500,7400,4500,40500,17,39048,47045,0.14,7283,,51046,49477.45,0.3566,6211,6535,0.6328
2996,Dakota State University,Madison,SD,3,32,0.8561,635,610,1910,9633,12735,0.4675,0.2844,1,1200,7148,4874,7433,5807,43100,18,40568,53359,0.13,8564,,50856.5,52093.19,0.4058,8651,7800,0.7175
3005,Northern State University,Aberdeen,SD,3,33,0.7982,600,590,1344,8845,11947,0.4757,0.3697,1,1200,9150,4300,9150,4300,37300,16,40635,49597,0.13,7502,,52170,48289.97,0.2739,9854,5375,0.7224
3009,South Dakota School of Mines and Technology,Rapid City,SD,3,13,0.8048,665,690,1976,12110,16530,0.5231,0.2404,1,2060,8140,4400,10760,4400,62400,11,59222,75625,0.25,9844,,76508,52423.4,0.4688,11960,8714,0.7437
3010,South Dakota State University,Brookings,SD,3,33,0.8743,600,620,8651,9299,12809,0.5955,0.4152,1,1200,8054,4063,9025,4780,50200,17,47108,58219,0.21,8860,,73000,53049.11,0.4901,8746,8708,0.8043
3017,University of South Dakota,Vermillion,SD,3,32,0.8701,640,650,5328,9432,12942,0.601,0.4277,1,1200,8600,4625,9013,6012,49500,14,46244,55575,0.15,8332,,64843.5,53799.09,0.4677,10574,8289,0.791
3300,Southern Utah University,Cedar City,UT,3,33,0.8873,640,600,9297,6726,20542,0.5472,0.2942,1,1600,7500,4800,7500,4800,45500,23,33835,66041,0.21,7545,,41064,55546.63,0.526,6611,7323,0.7294
3302,Utah State University,Logan,UT,3,13,0.9263,660,650,20516,8960,24080,0.5578,0.2936,1,836,8076,4072,8300,4072,49600,21,34479,70498,0.23,9658,,42950.5,60534.36,0.2221,10909,6662,0.7347
3303,Utah Valley University,Orem,UT,2,13,1,635,624,27489,6010,17092,0.3779,0.1479,1,588,8810.5,4401,9018,3664,50700,25,32486,69429,0.19,8644,,31983,65815.47,0.1128,5682,5397,0.6654
3305,University of Utah,Salt Lake City,UT,3,12,0.9497,690,700,24850,8893,28345,0.672,0.3587,1,1036,10662,3672,12978,3672,63500,18,49195,77191,0.21,11146,,38625,69474.52,0.2371,16497,12602,0.8761
3306,Weber State University,Ogden,UT,2,13,1,635,624,15944,6228,16644,0.4058,0.1539,1,1400,9004,5060,7380,5060,49900,21,41753,70962,0.19,8590,,35841,66371.04,0.1286,6076,4497,0.657
3413,Central Washington University,Ellensburg,WA,3,32,0.8845,635,624,9508,8685,25213,0.5363,0.3232,1,900,13938,2922,9741,2922,50100,15,52966,67299,0.16,8941,,42459,63170.67,0.3793,9174,7032,0.6963
3422,Eastern Washington University,Cheney,WA,3,31,0.9707,635,624,7589,7922,25748,0.4962,0.2649,1,942,13060,3132,10500,3525,46700,20,51339,60398,0.16,9399,,38218.5,56952.77,0.6182,7844,7398,0.6906
3426,The Evergreen State College,Olympia,WA,3,22,0.9946,630,570,1819,8529,29172,0.4323,0.3229,1,900,13149,3525,13149,3525,36900,14,40885,45150,0.13,8267,,22200,63843.36,0.4322,10947,6958,0.6337
3464,Washington State University,Pullman,WA,3,32,0.8577,635,624,23966,12417,27733,0.5955,0.3734,1,960,11848,3542,11848,3542,56600,15,59446,72473,0.2,10401,,44850,63710,0.3237,9617,10674,0.807
3467,Western Washington University,Bellingham,WA,3,13,0.961,670,640,13933,8703,25930,0.677,0.429,1,1011,13080,3840,13080,3840,50600,17,54409,66828,0.24,10753,,51312,66707.46,0.288,11628,7758,0.7981
3582,University of Wyoming,Laramie,WY,3,33,0.9678,635,624,8700,6277,20827,0.6023,0.3702,1,1200,11144,3184,11144,3184,54200,14,47755,60998,0.18,9830,,54733.5,56061.18,0.2726,16662,6490,0.7812
4414,Nevada State College,Henderson,NV,3,41,0.7902,635,624,4110,6075,19440,0.2851,0.0868,1,1300,10950.8169,3863.484507,10830,6446,,18,52006,53789,0.08,7531,,31751.5,,0.1588,4574,3506,0.775
4757,Dixie Technical College,Saint George,UT,1,13,0.6652,635,624,882,,,,,3,,8810.5,4401,9035.2,4253.6,,7,,,,,25,21129,,0,13075,2886,
6052,Arizona State University-Polytechnic,Mesa,AZ,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,
6053,Arizona State University-Downtown Phoenix,Phoenix,AZ,0,,0.88,635,624,,11348,29438,,,1,,12394,4160,10907,5160,55500,,53185,68098,0.17,,,35851.5,69074.33,,,,
6317,Washington State University-Vancouver,Vancouver,WA,0,,0.86,635,624,,11056,26372,,,1,,13015,3392.2,11663.6,3470.8,56600,,59446,72473,0.2,,,44850,63710,,,,
6319,Washington State University-Tri Cities,Richland,WA,0,,0.86,635,624,,11399,26715,,,1,,13015,3392.2,11663.6,3470.8,56600,,59446,72473,0.2,,,44850,63710,,,,
